date,4G(GB),5G(GB)
2017/10/06,508097.78,508097.78
2017/10/07,504480.44,504480.44
2017/10/08,493082.2,493082.2
2017/10/09,515746.11,515746.11
2017/10/10,482300.89,482300.89
2017/10/11,475499.42,475499.42
2017/10/12,483714.77,483714.77
2017/10/13,493401.9,493401.9
2017/10/14,507646.06,507646.06
2017/10/15,553977.82,553977.82
2017/10/16,491783.68,491783.68
2017/10/17,476965.84,476965.84
2017/10/18,491814.97,491814.97
2017/10/19,479957.62,479957.62
2017/10/20,489933.09,489933.09
2017/10/21,505543.04,505543.04
2017/10/22,494973.21,494973.21
2017/10/23,516676.13,516676.13
2017/10/24,469586.77,469586.77
2017/10/25,465191.07,465191.07
2017/10/26,464309.19,464309.19
2017/10/27,475883.17,475883.17
2017/10/28,503344.56,503344.56
2017/10/29,482122.37,482122.37
2017/10/30,453554.77,453554.77
2017/10/31,437558.21,437558.21
2017/11/01,423613.12,423613.12
2017/11/02,538992.11,538992.11
2017/11/03,575149.25,575149.25
2017/11/04,615150.51,615150.51
2017/11/05,586720.81,586720.81
2017/11/06,568460.94,568460.94
2017/11/07,615313.82,615313.82
2017/11/08,574241.24,574241.24
2017/11/09,568862.26,568862.26
2017/11/10,589880.14,589880.14
2017/11/11,612427.07,612427.07
2017/11/12,592523.36,592523.36
2017/11/13,582826.05,582826.05
2017/11/14,431613.1,431613.1
2017/11/15,566653.85,566653.85
2017/11/16,554360.3,554360.3
2017/11/17,564022.36,564022.36
2017/11/18,578154.05,578154.05
2017/11/19,569455.14,569455.14
2017/11/20,567434.61,567434.61
2017/11/22,510292.99,510292.99
2017/11/23,509093.74,509093.74
2017/11/24,504745.21,504745.21
2017/11/25,504141.73,504141.73
2017/11/26,493231.68,493231.68
2017/11/27,475981.97,475981.97
2017/11/28,495361.15,495361.15
2017/11/29,494759.62,494759.62
2017/11/30,498364.08,498364.08
2017/11/31,,498364.08
